gene	entrez_id	chromosome	start_position	end_position	prop_express	selected.Astro	selected.Exc	selected.Inh	selected.Micro	selected.Oligo	selected.OPC
ADH5	128	4	99070978	99088788	0.28118338608617	0	0	0	0	0	0
ADH5P2	343296	1	79521069	79522467	0.0103998449712551	0	0	0	0	0	0
ADH5P3	100131810	1	240170143	240171530	0.0416639751954008	0	0	0	0	0	0
ADH5P4	642443	6	65835477	65838068	0.0567792778244299	0	0	0	0	0	0
ADIPOQ	9370	3	186842668	186858463	0.0328144176732769	0	0	0	0	0	0
ADIPOR1	51094	1	202940825	202958572	0.347070602674246	0	0	0	0	0	0
ADK	132	10	74151185	74709303	0.428396098443253	0	0	0	0	0	0
ADM	133	11	10304980	10307402	0.0234480976681093	0	0	0	0	0	0
ADM5	199800	19	49688685	49690990	0.0243524320134358	0	0	0	0	0	0
ADNP	23394	20	50888918	50930990	0.51107809573025	0	0	0	0	0	0
ADNP-AS1	101927631	20	50930984	50945134	0.0618177120341063	0	0	0	0	0	0
ADNP2	22850	18	80109031	80140348	0.292939732575415	0	0	0	0	0	0
ADO	84890	10	62804756	62808479	0.17318002713003	0	0	0	0	0	0
ADORA2A-AS1	646023	22	24429210	24494815	0.0145339448356049	0	0	0	0	0	0
ADPGK-AS1	100287559	15	72782835	72798199	0.0168593760093017	0	0	0	0	0	0
ADPRHL1	113622	13	113421940	113453524	0.0884955752212389	0	0	0	0	0	0
ADPRHL2	54936	1	36088852	36093932	0.123893805309735	0	0	0	0	0	0
ADPRM	56985	17	10697610	10711558	0.115819391512176	0	0	0	0	0	0
ADRA1B	147	5	159916733	159986178	0.157677152638718	0	0	0	0	0	0
ADRA1D	146	20	4220631	4249012	0.039338544021704	0	0	0	0	0	0
ADRA2A	150	10	111077032	111080907	0.0757057037659066	0	0	0	0	0	0
ADRA2C	152	4	3766569	3768526	0.0265486725663717	0	0	0	0	0	0
ADRB3	155	8	37962995	37966666	0.0117563464892449	0	0	0	0	0	0
ADRM1	11047	20	62302056	62308862	0.212389380530973	0	0	0	0	0	0
ADSL	158	22	40346500	40387408	0.243911891996641	0	0	0	0	0	0
ADSSL1	122622	14	104724197	104747325	0.0215102383566953	0	0	0	0	0	0
AEBP2	121536	12	19439492	19522239	0.457593178735224	0	0	0	0	0	0
AEN	64782	15	88604681	88632281	0.0985078483302112	0	0	0	0	0	0
AES	166	19	3052910	3063107	0.740391447580906	0	0	0	0	0	0
AFAP1-AS1	84740	4	7754090	7778928	0.0219624055293586	0	0	0	0	0	0
AFAP1L1	134265	5	149271838	149343637	0.0334603707770816	0	0	0	0	0	0
AFF4	27125	5	132875379	132963662	0.703055358180996	0	0	0	0	0	0
AFG3L1P	172	16	89972580	90000787	0.342290549706091	0	0	0	0	0	0
AFG3L2	10939	18	12328944	12377309	0.522446870357212	0	0	0	0	0	0
AFG3L2P1	347028	8	43247203	43271960	0.321620050384342	0	0	0	0	0	0
AFTPH	54812	2	64524305	64593005	0.568826303210387	0	0	0	0	0	0
AGAP1-IT1	100506749	2	235504628	235507566	0.0211226664944125	0	0	0	0	0	0
AGAP10P	653234	10	45678692	45700553	0.121503778825657	0	0	0	0	0	0
AGAP11	119385	10	86970741	87010203	0.0919837219817841	0	0	0	0	0	0
AGAP2-AS1	100130776	12	57726240	57728356	0.0179574962857697	0	0	0	0	0	0
AGAP4	119016	10	45825592	45853877	0.485433757509205	0	0	0	0	0	0
AGAP5	729092	10	73674275	73697796	0.258058264969963	0	0	0	0	0	0
AGAP7P	653268	10	46109495	46131678	0.265034558491054	0	0	0	0	0	0
AGAP9	642517	10	47501854	47523638	0.388799173180027	0	0	0	0	0	0
AGBL1	123624	15	86079787	87031178	0.0290678896712099	0	0	0	0	0	0
AGBL2	79841	11	47659169	47715382	0.0121439183515277	0	0	0	0	0	0
AGBL3	340351	7	134986508	135135778	0.196175957625476	0	0	0	0	0	0
AGBL4-IT1	100874313	1	49374201	49472085	0.168141592920354	0	0	0	0	0	0
AGBL5	60509	2	27051423	27070622	0.165557780505135	0	0	0	0	0	0
AGER	177	6	32180968	32184322	0.0392739487113236	0	0	0	0	0	0
AGGF1	55109	5	77030385	77065234	0.513015955041664	0	0	0	0	0	0
AGGF1P1	100132380	4	190040984	190044286	0.0246754085653382	0	0	0	0	0	0
AGGF1P2	644435	10	133642087	133642895	0.0208642852528906	0	0	0	0	0	0
AGGF1P3	391552	3	75653450	75655581	0.124927330275822	0	0	0	0	0	0
AGKP1	359793	Y	14639044	14641313	0.0450229313351851	0	0	0	0	0	0
AGMAT	79814	1	15571699	15585110	0.0939215812931981	0	0	0	0	0	0
AGO1	26523	1	35869791	35924298	0.184871778308895	0	0	0	0	0	0
AGO3	192669	1	35923403	36056747	0.53465538401912	0	0	0	0	0	0
AGO4	192670	1	35807630	35857890	0.510432142626445	0	0	0	0	0	0
AGPAT1	10554	6	32168206	32178111	0.44454492603837	0	0	0	0	0	0
AGPAT2	10555	9	136673143	136687459	0.0810671145274853	0	0	0	0	0	0
AGPAT3	56894	21	43865160	43987594	0.499386344551386	0	0	0	0	0	0
AGPAT5	55326	8	6708357	6761503	0.39751954008139	0	0	0	0	0	0
AGPAT9	84803	4	83535914	83605875	0.137846392351915	0	0	0	0	0	0
AGPS	8540	2	177392743	177543836	0.407273431948841	0	0	0	0	0	0
AGRP	181	16	67482571	67484083	0.0104644402816356	0	0	0	0	0	0
AGTRAP	57085	1	11735474	11750771	0.0116917511788644	0	0	0	0	0	0
AHCTF1	25909	1	246839098	246931978	0.567986564175441	0	0	0	0	0	0
AHCTF1P1	285116	2	161499067	161507902	0.153284671532847	0	0	0	0	0	0
AHCY	191	20	34234840	34311976	0.194044312382921	0	0	0	0	0	0
AHDC1	27245	1	27534245	27604178	0.503391253794975	0	0	0	0	0	0
AHI1	54806	6	135283972	135497765	0.984109553646405	0	0	0	0	0	0
AHNAK2	113146	14	104937253	104978357	0.207673922873199	0	0	0	0	0	0
AHR	196	7	17298652	17346151	0.269620825528067	0	0	0	0	0	0
AHRR	57491	5	304176	438291	0.104192235643692	0	0	0	0	0	0
AHSA1	10598	14	77457875	77469472	0.404108261740198	0	0	0	0	0	0
AHSG	197	3	186613061	186621318	0.0142755635940831	0	0	0	0	0	0
AICDA	57379	12	8602166	8612888	0.0154382791809315	0	0	0	0	0	0
AIDA	64853	1	222668013	222712901	0.173696789613074	0	0	0	0	0	0
AIFM1	9131	X	130129362	130165887	0.208126090045863	0	0	0	0	0	0
AIFM2	84883	10	70112267	70132934	0.177120341063239	0	0	0	0	0	0
AIM1	202	6	106360808	106570451	0.173632194302694	0	0	0	0	0	0
AIMP1	9255	4	106315610	106349225	0.471158193915122	0	0	0	0	0	0
AIMP1P1	170547	20	14127331	14128413	0.148375427943931	0	0	0	0	0	0
AIMP2	7965	7	6009251	6023834	0.169821070990246	0	0	0	0	0	0
AIP	9049	11	67483029	67491108	0.174019766164976	0	0	0	0	0	0
AIPL1	23746	17	6423737	6435199	0.0131128480072347	0	0	0	0	0	0
AIRE	326	21	44285838	44298219	0.0267424584975131	0	0	0	0	0	0
AIRN	100271873	6	160003291	160007664	0.0750597506621019	0	0	0	0	0	0
AJAP1	55966	1	4655045	4792534	0.529552354499063	0	0	0	0	0	0
AK2	204	1	33007940	33036911	0.326593889283638	0	0	0	0	0	0
AK2P1	266920	1	58630846	58631572	0.0349460629158323	0	0	0	0	0	0
AK3P2	100419074	8	143057063	143057816	0.0191848071829985	0	0	0	0	0	0
AK3P3	100419075	7	23129178	23129838	0.0490924358891544	0	0	0	0	0	0
AK3P6	100873789	12	128942099	128945293	0.0380466378140947	0	0	0	0	0	0
AK4P1	206	17	31345314	31347501	0.0755765131451457	0	0	0	0	0	0
AK4P3	645619	12	31614443	31616574	0.0271300303597959	0	0	0	0	0	0
AK6	102157402	5	69351726	69370013	0.287901298365739	0	0	0	0	0	0
AK7	122481	14	96392111	96489427	0.0314579161552871	0	0	0	0	0	0
AK8	158067	9	132725574	132878811	0.0545830372714941	0	0	0	0	0	0
AK9	221264	6	109492855	109691212	0.404883405464763	0	0	0	0	0	0
AKAP10	11216	17	19904452	19977856	0.523092823461017	0	0	0	0	0	0
AKAP11	11215	13	42271481	42323267	0.80744137975583	0	0	0	0	0	0
AKAP12	9590	6	151239999	151358559	0.337510496737937	0	0	0	0	0	0
AKAP14	158798	X	119895973	119920716	0.0459918609908921	0	0	0	0	0	0
AKAP17A	8227	X	1591593	1602520	0.0857825721852594	0	0	0	0	0	0
AKAP3	10566	12	4615508	4649047	0.0129190620760933	0	0	0	0	0	0
AKAP8	10270	19	15353521	15379828	0.378657709450294	0	0	0	0	0	0
AKAP8L	26993	19	15380048	15419121	0.732123247852206	0	0	0	0	0	0
