"gene","chromosome","entrez_id","gene_name","mouse_homologenes"
"ABCA13","7",154664,"ATP-binding cassette, sub-family A (ABC1), member 13","Abca13"
"ABCA17P","16",650655,"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene",""
"ABCA2","9",20,"ATP-binding cassette, sub-family A (ABC1), member 2","Abca2"
"ABCA3","16",21,"ATP-binding cassette, sub-family A (ABC1), member 3","Abca3"
"ABCA4","1",24,"ATP-binding cassette, sub-family A (ABC1), member 4","Abca4"
"ABCA5","17",23461,"ATP-binding cassette, sub-family A (ABC1), member 5","Abca5"
"ABCA6","17",23460,"ATP-binding cassette, sub-family A (ABC1), member 6","Abca6"
"ABCA7","19",10347,"ATP-binding cassette, sub-family A (ABC1), member 7","Abca7"
"ABCA8","17",10351,"ATP-binding cassette, sub-family A (ABC1), member 8","Abca8b"
"ABCA9","17",10350,"ATP-binding cassette, sub-family A (ABC1), member 9","Abca9"
"ABCA9-AS1","17",104355297,"ABCA9 antisense RNA 1",""
"ABCB1","7",5243,"ATP-binding cassette, sub-family B (MDR/TAP), member 1","Abcb1a"
"ABCB10","1",23456,"ATP-binding cassette, sub-family B (MDR/TAP), member 10","Abcb10"
"ABCB10P1","15",56476,"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1",""
"ABCB10P3","15",728248,"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3",""
"ABCB10P4","15",100132289,"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4",""
"ABCB11","2",8647,"ATP-binding cassette, sub-family B (MDR/TAP), member 11","Abcb11"
"ABCB4","7",5244,"ATP-binding cassette, sub-family B (MDR/TAP), member 4","Abcb4"
"ABCB5","7",340273,"ATP-binding cassette, sub-family B (MDR/TAP), member 5","Abcb5"
"ABCB6","2",10058,"ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)","Abcb6"
"ABCB7","X",22,"ATP-binding cassette, sub-family B (MDR/TAP), member 7","Abcb7"
"ABCB8","7",11194,"ATP-binding cassette, sub-family B (MDR/TAP), member 8","Abcb8"
"ABCB9","12",23457,"ATP-binding cassette, sub-family B (MDR/TAP), member 9","Abcb9"
"ABCC1","16",4363,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1","Abcc1"
"ABCC10","6",89845,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10","Abcc10"
"ABCC11","16",85320,"ATP-binding cassette, sub-family C (CFTR/MRP), member 11",""
"ABCC12","16",94160,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12","Abcc12"
"ABCC13","21",150000,"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene",""
"ABCC2","10",1244,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2","Abcc2"
"ABCC3","17",8714,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3","Abcc3"
"ABCC4","13",10257,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4","Abcc4"
"ABCC5","3",10057,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5","Abcc5"
"ABCC5-AS1","3",100873982,"ABCC5 antisense RNA 1",""
"ABCC6","16",368,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6","Abcc6"
"ABCC6P1","16",653190,"ATP-binding cassette, sub-family C, member 6 pseudogene 1 (functional)",""
"ABCC6P2","16",730013,"ATP-binding cassette, sub-family C, member 6 pseudogene 2",""
"ABCC8","11",6833,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8","Abcc8"
"ABCC9","12",10060,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9","Abcc9"
"ABCD1","X",215,"ATP-binding cassette, sub-family D (ALD), member 1","Abcd1"
"ABCD1P1","2",23785,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1",""
"ABCD1P2","10",26983,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2",""
"ABCD1P3","16",26982,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3",""
"ABCD1P4","22",26957,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4",""
"ABCD1P5","2",642762,"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 5",""
"ABCD2","12",225,"ATP-binding cassette, sub-family D (ALD), member 2","Abcd2"
"ABCD3","1",5825,"ATP-binding cassette, sub-family D (ALD), member 3","Abcd3"
"ABCD4","14",5826,"ATP-binding cassette, sub-family D (ALD), member 4","Abcd4"
"ABCE1","4",6059,"ATP-binding cassette, sub-family E (OABP), member 1","Abce1"
"ABCF1","6",23,"ATP-binding cassette, sub-family F (GCN20), member 1","Abcf1"
"ABCF2","7",10061,"ATP-binding cassette, sub-family F (GCN20), member 2","Abcf2"
"ABCF2P1","3",344653,"ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 1",""
"ABCF2P2","7",100422059,"ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 2",""
"ABCF3","3",55324,"ATP-binding cassette, sub-family F (GCN20), member 3","Abcf3"
"ABCG1","21",9619,"ATP-binding cassette, sub-family G (WHITE), member 1","Abcg1"
"ABCG2","4",9429,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)","Abcg2"
"ABCG4","11",64137,"ATP-binding cassette, sub-family G (WHITE), member 4","Abcg4"
"ABCG5","2",64240,"ATP-binding cassette, sub-family G (WHITE), member 5","Abcg5"
"ABCG8","2",64241,"ATP-binding cassette, sub-family G (WHITE), member 8","Abcg8"
"ABHD1","2",84696,"abhydrolase domain containing 1",""
"ABHD10","3",55347,"abhydrolase domain containing 10","Abhd10"
"ABHD11","7",83451,"abhydrolase domain containing 11","Abhd11"
"ABHD11-AS1","7",171022,"ABHD11 antisense RNA 1 (tail to tail)",""
"ABHD12","20",26090,"abhydrolase domain containing 12","Abhd12"
"ABHD12B","14",145447,"abhydrolase domain containing 12B","Abhd12b"
"ABHD13","13",84945,"abhydrolase domain containing 13","Abhd13"
"ABHD14A","3",25864,"abhydrolase domain containing 14A","Abhd14a"
"ABHD14A-ACY1","3",100526760,"ABHD14A-ACY1 readthrough (NMD candidate)",""
"ABHD14B","3",84836,"abhydrolase domain containing 14B","Abhd14b"
"ABHD15","17",116236,"abhydrolase domain containing 15","Abhd15"
"ABHD16A","6",7920,"abhydrolase domain containing 16A","Abhd16a"
"ABHD16B","20",140701,"abhydrolase domain containing 16B","Abhd16b"
"ABHD17A","19",81926,"abhydrolase domain containing 17A","Abhd17a"
"ABHD17AP1","1",728917,"abhydrolase domain containing 17A pseudogene 1",""
"ABHD17AP3","1",648359,"abhydrolase domain containing 17A pseudogene 3",""
"ABHD17AP4","22",729495,"abhydrolase domain containing 17A pseudogene P4",""
"ABHD17AP5","22",91219,"abhydrolase domain containing 17A pseudogene 5",""
"ABHD17AP6","17",644988,"abhydrolase domain containing 17A pseudogene 6",""
"ABHD17AP7","16",100133212,"abhydrolase domain containing 17A pseudogene 7",""
"ABHD17AP8","16",647144,"abhydrolase domain containing 17A pseudogene 8",""
"ABHD17AP9","16",100132251,"abhydrolase domain containing 17A pseudogene 9",""
"ABHD17B","9",51104,"abhydrolase domain containing 17B","Abhd17b"
"ABHD17C","15",58489,"abhydrolase domain containing 17C","Abhd17c"
"ABHD2","15",11057,"abhydrolase domain containing 2","Abhd2"
"ABHD3","18",171586,"abhydrolase domain containing 3","Abhd3"
"ABHD4","14",63874,"abhydrolase domain containing 4","Abhd4"
"ABHD5","3",51099,"abhydrolase domain containing 5","Abhd5"
"ABHD6","3",57406,"abhydrolase domain containing 6","Abhd6"
"ABHD8","19",79575,"abhydrolase domain containing 8","Abhd8"
"ABI1","10",10006,"abl-interactor 1","Abi1"
"ABI1P1","14",326268,"abl-interactor 1 pseudogene 1",""
"ABI2","2",10152,"abl-interactor 2","Abi2"
"ABI3","17",51225,"ABI family, member 3","Abi3"
"ABI3BP","3",25890,"ABI family, member 3 (NESH) binding protein",""
"ABL1","9",25,"ABL proto-oncogene 1, non-receptor tyrosine kinase","Abl1"
"ABL2","1",27,"ABL proto-oncogene 2, non-receptor tyrosine kinase","Abl2"
"ABLIM1","10",3983,"actin binding LIM protein 1","Ablim1"
"ABLIM2","4",84448,"actin binding LIM protein family, member 2","Ablim2"
"ABLIM3","5",22885,"actin binding LIM protein family, member 3","Ablim3"
"ABO","9",28,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Abo"
"ABR","17",29,"active BCR-related","Abr"
"ABRA","8",137735,"actin-binding Rho activating protein","Abra"
"ABRACL","6",58527,"ABRA C-terminal like","Abracl"
"ABT1","6",29777,"activator of basal transcription 1","Abt1"
"ABT1P1","4",100420695,"activator of basal transcription 1 pseudogene 1",""
"ABTB1","3",80325,"ankyrin repeat and BTB (POZ) domain containing 1","Abtb1"
"ABTB2","11",25841,"ankyrin repeat and BTB (POZ) domain containing 2","Abtb2"
"ACAA1","3",30,"acetyl-CoA acyltransferase 1","Acaa1a"
"ACAA2","18",10449,"acetyl-CoA acyltransferase 2","Acaa2"
"ACACA","17",31,"acetyl-CoA carboxylase alpha","Acaca"
"ACACB","12",32,"acetyl-CoA carboxylase beta","Acacb"
"ACAD10","12",80724,"acyl-CoA dehydrogenase family, member 10","Acad10"
"ACAD11","3",84129,"acyl-CoA dehydrogenase family, member 11","Acad11"
"ACAD8","11",27034,"acyl-CoA dehydrogenase family, member 8","Acad8"
"ACAD9","3",28976,"acyl-CoA dehydrogenase family, member 9","Acad9"
"ACADL","2",33,"acyl-CoA dehydrogenase, long chain","Acadl"
"ACADM","1",34,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain","Acadm"
"ACADS","12",35,"acyl-CoA dehydrogenase, C-2 to C-3 short chain","Acads"
"ACADSB","10",36,"acyl-CoA dehydrogenase, short/branched chain","Acadsb"
"ACADVL","17",37,"acyl-CoA dehydrogenase, very long chain","Acadvl"
"ACAN","15",176,"aggrecan",""
"ACAP1","17",9744,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","Acap1"
"ACAP2","3",23527,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","Acap2"
"ACAP3","1",116983,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","Acap3"
"ACAT1","11",38,"acetyl-CoA acetyltransferase 1","Acat1"
"ACAT2","6",39,"acetyl-CoA acetyltransferase 2","Acat2;Acat3"
"ACBD3","1",64746,"acyl-CoA binding domain containing 3","Acbd3"
"ACBD4","17",79777,"acyl-CoA binding domain containing 4","Acbd4"
"ACBD5","10",91452,"acyl-CoA binding domain containing 5","Acbd5"
"ACBD6","1",84320,"acyl-CoA binding domain containing 6","Acbd6"
"ACBD7","10",414149,"acyl-CoA binding domain containing 7","Acbd7"
"ACCS","11",84680,"1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)","Accs"
"ACCSL","11",390110,"1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like","Accsl"
"ACD","16",65057,"adrenocortical dysplasia homolog (mouse)","Acd"
"ACE","17",1636,"angiotensin I converting enzyme","Ace"
"ACE2","X",59272,"angiotensin I converting enzyme 2","Ace2"
"ACE3P","17",100129123,"angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene",""
"ACER1","19",125981,"alkaline ceramidase 1","Acer1"
"ACER2","9",340485,"alkaline ceramidase 2","Acer2"
"ACER3","11",55331,"alkaline ceramidase 3","Acer3"
"ACHE","7",43,"acetylcholinesterase (Yt blood group)","Ache"
"ACIN1","14",22985,"apoptotic chromatin condensation inducer 1","Acin1"
"ACKR1","1",2532,"atypical chemokine receptor 1 (Duffy blood group)",""
"ACKR2","3",1238,"atypical chemokine receptor 2","Ackr2"
"ACKR3","2",57007,"atypical chemokine receptor 3","Ackr3"
"ACKR4","3",51554,"atypical chemokine receptor 4","Ackr4"
"ACLY","17",47,"ATP citrate lyase","Acly"
"ACMSD","2",130013,"aminocarboxymuconate semialdehyde decarboxylase","Acmsd"
"ACO1","9",48,"aconitase 1, soluble","Aco1"
"ACO2","22",50,"aconitase 2, mitochondrial","Aco2"
"ACOT1","14",641371,"acyl-CoA thioesterase 1","Acot3"
"ACOT11","1",26027,"acyl-CoA thioesterase 11","Acot11"
"ACOT12","5",134526,"acyl-CoA thioesterase 12","Acot12"
"ACOT13","6",55856,"acyl-CoA thioesterase 13","Acot13"
"ACOT2","14",10965,"acyl-CoA thioesterase 2","Acot2"
"ACOT4","14",122970,"acyl-CoA thioesterase 4","Acot4"
"ACOT6","14",641372,"acyl-CoA thioesterase 6",""
"ACOT7","1",11332,"acyl-CoA thioesterase 7","Acot7"
"ACOT8","20",10005,"acyl-CoA thioesterase 8","Acot8"
"ACOT9","X",23597,"acyl-CoA thioesterase 9","Acot10;Acot9"
"ACOX1","17",51,"acyl-CoA oxidase 1, palmitoyl","Acox1"
"ACOX2","3",8309,"acyl-CoA oxidase 2, branched chain","Acox2"
"ACOX3","4",8310,"acyl-CoA oxidase 3, pristanoyl","Acox3"
"ACOXL","2",55289,"acyl-CoA oxidase-like","Acoxl"
"ACP1","2",52,"acid phosphatase 1, soluble","Acp1"
"ACP2","11",53,"acid phosphatase 2, lysosomal","Acp2"
"ACP5","19",54,"acid phosphatase 5, tartrate resistant",""
"ACP6","1",51205,"acid phosphatase 6, lysophosphatidic","Acp6"
"ACPP","3",55,"acid phosphatase, prostate","Acpp"
"ACPT","19",93650,"acid phosphatase, testicular","Acpt"
"ACR","22",49,"acrosin","Acr"
"ACRBP","12",84519,"acrosin binding protein","Acrbp"
"ACRC","X",93953,"acidic repeat containing",""
"ACRV1","11",56,"acrosomal vesicle protein 1","Acrv1"
"ACSBG1","15",23205,"acyl-CoA synthetase bubblegum family member 1","Acsbg1"
"ACSBG2","19",81616,"acyl-CoA synthetase bubblegum family member 2","Acsbg2"
"ACSF2","17",80221,"acyl-CoA synthetase family member 2","Acsf2"
"ACSF3","16",197322,"acyl-CoA synthetase family member 3","Acsf3"
"ACSL1","4",2180,"acyl-CoA synthetase long-chain family member 1","Acsl1"
"ACSL3","2",2181,"acyl-CoA synthetase long-chain family member 3","Acsl3"
"ACSL4","X",2182,"acyl-CoA synthetase long-chain family member 4","Acsl4"
"ACSL5","10",51703,"acyl-CoA synthetase long-chain family member 5","Acsl5"
"ACSL6","5",23305,"acyl-CoA synthetase long-chain family member 6","Acsl6"
"ACSM1","16",116285,"acyl-CoA synthetase medium-chain family member 1","Acsm1"
"ACSM2A","16",123876,"acyl-CoA synthetase medium-chain family member 2A","Acsm2"
"ACSM2B","16",348158,"acyl-CoA synthetase medium-chain family member 2B",""
"ACSM3","16",6296,"acyl-CoA synthetase medium-chain family member 3","Acsm3"
"ACSM4","12",341392,"acyl-CoA synthetase medium-chain family member 4","Acsm4"
"ACSM5","16",54988,"acyl-CoA synthetase medium-chain family member 5","Acsm5"
"ACSM5P1","16",100421779,"acyl-CoA synthetase medium-chain family member 5 pseudogene 1",""
"ACSM6","10",142827,"acyl-CoA synthetase medium-chain family member 6",""
"ACSS1","20",84532,"acyl-CoA synthetase short-chain family member 1","Acss1"
"ACSS2","20",55902,"acyl-CoA synthetase short-chain family member 2","Acss2"
"ACSS3","12",79611,"acyl-CoA synthetase short-chain family member 3","Acss3"
"ACTA1","1",58,"actin, alpha 1, skeletal muscle","Acta1"
"ACTA2","10",59,"actin, alpha 2, smooth muscle, aorta","Acta2"
"ACTA2-AS1","10",100132116,"ACTA2 antisense RNA 1",""
"ACTB","7",60,"actin, beta","Actb"
"ACTBL2","5",345651,"actin, beta-like 2","Actbl2"
"ACTBP1","X",643309,"actin, beta pseudogene 1",""
"ACTBP10","14",446207,"actin, beta pseudogene 10",""
"ACTBP11","1",644220,"actin, beta pseudogene 11",""
"ACTBP12","1",100462767,"actin, beta pseudogene 12",""
"ACTBP13","3",389120,"actin, beta pseudogene 13",""
"ACTBP14","10",389976,"actin, beta pseudogene 14",""
"ACTBP2","5",62,"actin, beta pseudogene 2",""
"ACTBP3","18",63,"actin, beta pseudogene 3",""
"ACTBP4","5",64,"actin, beta pseudogene 4",""
"ACTBP6","8",66,"actin, beta pseudogene 6",""
"ACTBP7","15",67,"actin, beta pseudogene 7",""
"ACTBP8","6",68,"actin, beta pseudogene 8",""
"ACTBP9","18",69,"actin, beta pseudogene 9",""
"ACTC1","15",70,"actin, alpha, cardiac muscle 1","Actc1"
"ACTG1","17",71,"actin gamma 1","Actg1"
"ACTG1P1","3",73,"actin gamma 1 pseudogene 1",""
"ACTG1P10","X",83,"actin gamma 1 pseudogene 10",""
"ACTG1P11","Y",414754,"actin, gamma 1 pseudogene 11",""
"ACTG1P12","3",100418921,"actin gamma 1 pseudogene 12",""
"ACTG1P13","3",100418920,"actin gamma 1 pseudogene 13",""
"ACTG1P14","9",100418910,"actin gamma 1 pseudogene 14",""
"ACTG1P15","15",100418951,"actin gamma 1 pseudogene 15",""
"ACTG1P16","16",100418960,"actin gamma 1 pseudogene 16",""
"ACTG1P17","15",283693,"actin gamma 1 pseudogene 17",""
"ACTG1P18","6",100418924,"actin gamma 1 pseudogene 18",""
"ACTG1P19","9",644160,"actin gamma 1 pseudogene 19",""
"ACTG1P2","Y",74,"actin, gamma 1 pseudogene 2",""
"ACTG1P20","1",644961,"actin gamma 1 pseudogene 20",""
"ACTG1P21","1",100131291,"actin gamma 1 pseudogene 21",""
"ACTG1P22","2",100131953,"actin gamma 1 pseudogene 22",""
"ACTG1P23","3",442097,"actin gamma 1 pseudogene 23",""
"ACTG1P24","17",441783,"actin gamma 1 pseudogene 24",""
"ACTG1P3","20",75,"actin gamma 1 pseudogene 3",""
"ACTG1P4","1",648740,"actin gamma 1 pseudogene 4",""
"ACTG1P9","6",82,"actin gamma 1 pseudogene 9",""
"ACTG2","2",72,"actin, gamma 2, smooth muscle, enteric","Actg2"
"ACTL10","20",170487,"actin-like 10","Actl10"
"ACTL6A","3",86,"actin-like 6A","Actl6a"
"ACTL6B","7",51412,"actin-like 6B","Actl6b"
"ACTL7A","9",10881,"actin-like 7A","Actl7a"
"ACTL7B","9",10880,"actin-like 7B","Actl7b"
"ACTL8","1",81569,"actin-like 8",""
"ACTL9","19",284382,"actin-like 9","Actl9"
"ACTN1","14",87,"actinin, alpha 1","Actn1"
"ACTN1-AS1","14",161159,"ACTN1 antisense RNA 1",""
"ACTN2","1",88,"actinin, alpha 2","Actn2"
"ACTN3","11",89,"actinin, alpha 3 (gene/pseudogene)",""
"ACTN4","19",81,"actinin, alpha 4","Actn4"
"ACTN4P1","4",344978,"actinin, alpha 4 pseudogene 1",""
"ACTN4P2","1",391026,"391026",""
"ACTR10","14",55860,"actin-related protein 10 homolog (S. cerevisiae)","Actr10"
"ACTR1A","10",10121,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)","Actr1a"
"ACTR1B","2",10120,"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)","Actr1b"
"ACTR2","2",10097,"ARP2 actin-related protein 2 homolog (yeast)","Actr2"
"ACTR3","2",10096,"ARP3 actin-related protein 3 homolog (yeast)","Actr3"
"ACTR3B","7",57180,"ARP3 actin-related protein 3 homolog B (yeast)","Actr3b"
"ACTR3BP1","Y",643050,"ACTR3B pseudogene 1",""
"ACTR3BP2","2",440888,"ACTR3B pseudogene 2",""
"ACTR3BP3","16",647156,"ACTR3B pseudogene 3",""
"ACTR3BP4","4",777774,"ACTR3B pseudogene 4",""
"ACTR3BP5","10",399746,"ACTR3B pseudogene 5",""
"ACTR3BP6","22",644773,"ACTR3B pseudogene 6",""
"ACTR3C","7",653857,"ARP3 actin-related protein 3 homolog C (yeast)",""
"ACTR3P1","14",100288580,"ACTR3 pseudogene 1",""
"ACTR3P2","X",100129013,"ACTR3 pseudogene 2",""
"ACTR3P3","3",100128020,"ACTR3 pseudogene 3",""
"ACTR5","20",79913,"ARP5 actin-related protein 5 homolog (yeast)","Actr5"
"ACTR6","12",64431,"ARP6 actin-related protein 6 homolog (yeast)","Actr6"
"ACTR6P1","4",100421495,"ACTR6 pseudogene 1",""
"ACTR8","3",93973,"ARP8 actin-related protein 8 homolog (yeast)","Actr8"
"ACTRT1","X",139741,"actin-related protein T1","Actrt1"
"ACTRT2","1",140625,"actin-related protein T2","Actrt2"
"ACTRT3","3",84517,"actin-related protein T3","Actrt3"
"ACVR1","2",90,"activin A receptor, type I","Acvr1"
"ACVR1B","12",91,"activin A receptor, type IB","Acvr1b"
"ACVR1C","2",130399,"activin A receptor, type IC","Acvr1c"
"ACVR2A","2",92,"activin A receptor, type IIA","Acvr2a"
"ACVR2B","3",93,"activin A receptor, type IIB","Acvr2b"
"ACVR2B-AS1","3",100128640,"ACVR2B antisense RNA 1",""
"ACVRL1","12",94,"activin A receptor type II-like 1","Acvrl1"
"ACY1","3",95,"aminoacylase 1","Acy1"
"ACY3","11",91703,"aspartoacylase (aminocyclase) 3","Acy3"
"ACYP1","14",97,"acylphosphatase 1, erythrocyte (common) type","Acyp1"
"ACYP2","2",98,"acylphosphatase 2, muscle type","Acyp2"
"ADA","20",100,"adenosine deaminase","Ada"
"ADAD1","4",132612,"adenosine deaminase domain containing 1 (testis-specific)","Adad1"
"ADAD1P1","3",100422386,"adenosine deaminase domain containing 1 (testis-specific) pseudogene 1",""
"ADAD1P2","18",100422407,"adenosine deaminase domain containing 1 (testis-specific) pseudogene 2",""
"ADAD2","16",161931,"adenosine deaminase domain containing 2","Adad2"
"ADAL","15",161823,"adenosine deaminase-like","Adal"
"ADAM10","15",102,"ADAM metallopeptidase domain 10","Adam10"
"ADAM11","17",4185,"ADAM metallopeptidase domain 11","Adam11"
"ADAM12","10",8038,"ADAM metallopeptidase domain 12","Adam12"
"ADAM15","1",8751,"ADAM metallopeptidase domain 15","Adam15"
"ADAM17","2",6868,"ADAM metallopeptidase domain 17","Adam17"
"ADAM18","8",8749,"ADAM metallopeptidase domain 18","Adam18"
"ADAM19","5",8728,"ADAM metallopeptidase domain 19","Adam19"
"ADAM1A","12",8759,"ADAM metallopeptidase domain 1A (pseudogene)",""
"ADAM1B","12",100420505,"ADAM metallopeptidase domain 1B (pseudogene)",""
"ADAM2","8",2515,"ADAM metallopeptidase domain 2","Adam2"
"ADAM20","14",8748,"ADAM metallopeptidase domain 20","Adam20;Adam25;Adam39"
"ADAM20P1","14",317760,"ADAM metallopeptidase domain 20 pseudogene 1",""
"ADAM20P2","4",100533671,"ADAM metallopeptidase domain 20 pseudogene 2",""
"ADAM20P3","4",644325,"ADAM metallopeptidase domain 20 pseudogene 3",""
"ADAM21","14",8747,"ADAM metallopeptidase domain 21","Adam21"
"ADAM21P1","14",145241,"ADAM metallopeptidase domain 21 pseudogene 1",""
"ADAM22","7",53616,"ADAM metallopeptidase domain 22","Adam22"
"ADAM23","2",8745,"ADAM metallopeptidase domain 23","Adam23"
"ADAM24P","8",646479,"ADAM metallopeptidase domain 24, pseudogene",""
"ADAM28","8",10863,"ADAM metallopeptidase domain 28","Adam28"
"ADAM29","4",11086,"ADAM metallopeptidase domain 29","Adam29"
"ADAM30","1",11085,"ADAM metallopeptidase domain 30","Adam30"
"ADAM32","8",203102,"ADAM metallopeptidase domain 32","Adam32"
"ADAM33","20",80332,"ADAM metallopeptidase domain 33","Adam33"
"ADAM3A","8",1587,"ADAM metallopeptidase domain 3A (pseudogene)",""
"ADAM3B","16",1596,"ADAM metallopeptidase domain 3B (pseudogene)",""
"ADAM5","8",255926,"ADAM metallopeptidase domain 5 (pseudogene)",""
"ADAM6","14",8755,"ADAM metallopeptidase domain 6 (pseudogene)",""
"ADAM7","8",8756,"ADAM metallopeptidase domain 7","Adam7"
"ADAM8","10",101,"ADAM metallopeptidase domain 8","Adam8"
"ADAM9","8",8754,"ADAM metallopeptidase domain 9","Adam9"
"ADAMDEC1","8",27299,"ADAM-like, decysin 1","Adamdec1"
"ADAMTS1","21",9510,"ADAM metallopeptidase with thrombospondin type 1 motif, 1","Adamts1"
"ADAMTS10","19",81794,"ADAM metallopeptidase with thrombospondin type 1 motif, 10","Adamts10"
"ADAMTS12","5",81792,"ADAM metallopeptidase with thrombospondin type 1 motif, 12","Adamts12"
